,,,,,,,,
,,,,,,,,
,Carnotaurus,Attack,ODR,SEGA5JYTDRJ5,,,,
,Carnotaurus,Heroic,AF,SEGARCMMAII6,,,,
,Carnotaurus,Crisis,JPN,SEGAVFDLO4VO,,,,
,Megaraptor,Counter,AF,SEGA69HADJP4,,,,
,Megaraptor,Attack,JPN,SEGAQ7EWN4VI,,,,
,Megaraptor,Lethal,JPN,SEGAL1PIM2O0,,,,
,Allosaurus Atrox,Lucky 7,JPN,SEGA3YCJFW4U,,,,
,Utahraptor,Defense,ODR,SEGAYTM3NXI1,,,,
,Utahraptor,Hunter,AF,SEGAZK86PO4C,,,,
,Utahraptor,Attack,JPN,SEGA2P8OJQXW,,,,
,Utahraptor,Blunder/Impact,JPN,SEGAO5F6BCCL,,,,
,Majungasaurus,Charge,AF,SEGALOFWM9U4,,,,
,Majungasaurus,Counter,JPN,SEGAAZC8B0N4,,,,
,Ceratosaurus,Tie,ODR,SEGAD74JKBN3,,,,
,Ceratosaurus,Crisis,AF,SEGAH1K17EW7,,,,
,Ceratosaurus,Heroic,JPN,SEGAYKDL6K0S,,,,
,Deltadromeus,Blitz,AF,SEGAE9B81T5T,,,,
,Deltadromeus,Charge,JPN,SEGAZN5MFK9L,,,,
,Afrovenator,Reform,JPN,SEGAZT2UWY7L,,,,
,Afrovenator,Rock-Rock,JPN,SEGAP0S23HN3,,,,
,Rugops,Tie Defense,JPN,SEGA7PFHIT7L,,,,
,Rugops,Warning,JPN,SEGAS2WTMEB6,,,,
,Neovenator,Attack,ODR,SEGAMD4EK9F1,,,,
,Neovenator,Hunter,AF,SEGAWCVZE514,,,,
,Neovenator,Crisis,JPN,SEGA10QUBZO2,,,,
,Allosaurus,Tie,ODR,SEGAS1RVOKZ2,,,,
,Allosaurus,Blitz,AF,SEGA50E8BFLE,,,,
,Allosaurus,Revival,AF,SEGATWLQBXRB,,,,
,Allosaurus,Charge,JPN,SEGA40EQR1QN,,,,
,Allosaurus,Warning,JPN,SEGAW5QOWUP7,,,,
,Sinraptor,Heroic,AF,SEGA3E0BZ3EN,,,,
,Sinraptor,Revival,AF,SEGATNIBATHJ,,,,
,Sinraptor,Defense,JPN,SEGALQHD5S25,,,,
,Indosuchus,Strength,JPN,SEGAJ6D1HMDL,,,,
,Indosuchus,Rock-Rock,JPN,SEGAPZIMPUCC,,,,
,Monolophosaurus,Defense,ODR,SEGA5VNSYTD8,,,,
,Monolophosaurus,Crisis,AF,SEGAAGBGH3LW,,,,
,Monolophosaurus,Revival,JPN,SEGAHJ96ST0L,,,,
,Monolophosaurus,Heroic,JPN,SEGA3HYN5048,,,,
,Fukuiraptor,Tie,ODR,SEGA4NF8BZG6,,,,
,Fukuiraptor,Blitz,AF,SEGAPUJ9JPK7,,,,
,Fukuiraptor,Revival,AF,SEGAAY64VE5C,,,,
,Eustreptospondylus,Crisis,AF,SEGAGB2VU9BV,,,,
,Eustreptospondylus,Paper-Paper,JPN,SEGAA351Y272,,,,
,Eustreptospondylus,Defense,JPN,SEGADYPJX53G,,,,
,Piatnitzkysaurus,Poison,JPN,SEGAONYRAYLQ,,,,
,Dilophosaurus,Defense,ODR,SEGACJLAX6D8,,,,
,Dilophosaurus,Counter,AF,SEGAZR02QGDH,,,,
,Dilophosaurus,Revival,AF,SEGAAQ6H8M9B,,,,
,Dilophosaurus,Blitz,JPN,SEGAMQXNZUBJ,,,,
,Dilophosaurus,Tie Recovery,JPN,SEGANH146WYL,,,,
,Liliensternus,Heroic,AF,SEGA9SYW9V9R,,,,
,Liliensternus,Defense,JPN,SEGA1Y04Q77X,,,,
,Gojirasaurus,Charge,AF,SEGADYE28DRW,,,,
,Szechuanosaurus,Willpower,JPN,SEGAIQMHP2PE,,,,
,Szechuanosaurus,Revival,JPN,SEGAHO77CDCK,,,,
,Ace,Super Blitz,AF,SEGAFP3DAU7L,N/A,,,
,Ace,Tie Defense,JPN,SEGAKE1KM3CQ,N/A,,,
,Ace,Scissors-Scissors,JPN,SEGAY309XZJ0,N/A,,,
,Dinotector Ace,Tie Defense,JPN,SEGAKA3LFV57,SEGA0JG4MXET,,,
,Dinotector Ace,Scissors-Scissors,JPN,SEGAJJ8ZHVM3,SEGA0JG4MXET,,,
,Dinotector Carnotaurus,Scissors-Scissors,JPN,SEGAOA7643IK,SEGA0JG4MXET,,,
,Alpha Allosaurus,Poison,AF,SEGATXR4V9A1,N/A,,,
,Alpha Allosaurus,Paper-Paper,JPN,SEGAR7RO6ETH,N/A,,,
,Alpha Dilophosaurus,Defense,ODR,SEGA9ZN1OSI7,N/A,,,
,Alpha Dilophosaurus,Poison,AF,SEGA95H04KQL,N/A,,,
,Super Carnotaurus,Super,JPN,SEGA5WVAWQSC,N/A,,,
,Super Majungasaurus,Super,JPN,SEGAMTJ93364,N/A,,,
,Super Ceratosaurus,Super,JPN,SEGA4S0V4UKC,N/A,,,
,Super Sinraptor,Super,JPN,SEGAKGWONHEQ,N/A,,,
,Super Monolophosaurus,Super,JPN,SEGAPXYRS62A,N/A,,,
,Super Liliensternus,Super,JPN,SEGA6NYLRLK8,N/A,,,
,Super Ace,Super,JPN,SEGAMR0OS3GN,N/A,,,
,Ace (With Rex),Tie Defense,JPN,SEGAXTS2ZM31,N/A,Biting Wind,Sonic Blast,Cyclone
,Alpha Allosaurus (With Laura),Paper-Paper,JPN,SEGAK398J1CS,N/A,Tag Team,Leaellyn Cure,Alpha Dart
,Super Ace (With Rex),Super,JPN,SEGAYRSH3YMZ,N/A,Air Raid Storm,Sonic Blast,Ninja Attack
,Afrovenator (With Rex),Reform,JPN,SEGAOIHX5DS8,N/A,Dino Illusion,Mayfly,Hurricane Beat
,Super Carnotaurus (With Rex),Super,JPN,SEGA9HHIO9TE,N/A,Jet Shuriken,Sonic Blast,Air Raid Storm
,Rugops (With Rex),Warning,JPN,SEGAKSTTUZ5X,N/A,Jet Shuriken,Mayfly,Cyclone
,Indosuchus (With Laura),Rock-Rock,JPN,SEGAKS4EN7IU,N/A,Dino Illusion,Haste,Technique Boost
,Piatnitzkysaurus (With Seth),Poison,JPN,SEGAJDFJ0JCP,N/A,Critical Block,Move Breaker,Venom Fang